change_area,element_or_type,v2_3_state,v2_4_state,classification,notes
Dependency family,IBIS-IP_common include,Enumerations V2.2,Enumerations V2.4,confirmed dependency-family change,Validate V2.3 and V2.4 separately.
BeaconPointStructure,Description field,Desciption,Description,confirmed XSD spelling correction,BeaconPoint corrected in V2.4; TSPPoint not inferred.
LineInformationStructure,LinePublicCode,not observed,optional element present,confirmed V2.4 addition,Matches V2.4 first-pass audit.
LineInformationStructure,LineSymbolText,not observed,optional element present,confirmed V2.4 addition,Matches V2.4 first-pass audit.
LineInformationStructure,ExternalLineRef,not observed,optional element present,confirmed V2.4 addition,Matches V2.4 first-pass audit.
StopInformationStructure,StopShortName,not observed,optional element present,confirmed V2.4 addition,Matches V2.4 first-pass audit.
StopInformationStructure,StopLongNo,not observed,optional element present,confirmed V2.4 addition,Matches V2.4 first-pass audit.
StopInformationStructure,PointNumber,not observed,optional element present,confirmed V2.4 addition,Version-history wording StopPointNumber kept in CE-002.
StopInformationStructure,StopGlobalID,not observed,optional element present,confirmed V2.4 addition,Matches V2.4 first-pass audit.
StopInformationStructure,StopPointGlobalID,not observed,optional element present,confirmed V2.4 addition,Matches V2.4 first-pass audit.
TripInformationStructure,BlockNumber,not observed,optional element present,confirmed V2.4 addition,Matches V2.4 first-pass audit.
TripInformationStructure,ExternalVehicleJourneyRef,not observed,optional element present,confirmed V2.4 addition,Matches V2.4 first-pass audit.
TSPPointStructure,Desciption,Desciption,Desciption,unchanged typo-like XSD spelling,CE-017 remains deferred for visual PDF confirmation.
GlobalCardStatus,GlobalCardStausID,GlobalCardStausID,GlobalCardStausID,unchanged typo-like XSD spelling,CE-016 remains open.
ZoneType,FarezoneTypeID/FareZoneTypeName,mixed casing,mixed casing,unchanged casing issue,Keep CE-015/ZoneType visual confirmation deferred.
