rule_id,profile,authority_class,authority_source,requirement_level,validation_layer,check,default_result,notes
HTTP-V01,gc-2.3+,vdv_normative,VDV 301-2 General Conventions V2.3+,mandatory,http_transport_validation,HTTP version is 1.1,error,"explicit VDV rule from V2.3 onward; do not retroactively apply to V2.2"
HTTP-V02,gc-2.2+,vdv_normative,VDV 301-2 General Conventions V2.2+,mandatory,http_transport_validation,POST for operation with request data,error,"operation method convention"
HTTP-V03,gc-2.2+,vdv_normative,VDV 301-2 General Conventions V2.2+,mandatory,http_transport_validation,GET for operation without request data,error,"operation method convention"
HTTP-X01,http,external_normative,RFC 9110 section 8.3.1,mandatory_syntax,http_transport_validation,Content-Type parses as media-type,error,"external protocol rule; not explicit VDV Content-Type rule"
HTTP-X02,http,external_normative,RFC 9110 section 8.3,should,http_transport_validation,Content-Type present when sender knows media type and message has content,warning,"absence is not a fabricated VDV hard failure"
HTTP-X03,xml,external_normative,RFC 7303,compatible,http_transport_validation,application/xml for XML document,pass,"generic XML media type"
HTTP-X04,xml,external_normative,RFC 7303,compatible_alias,http_transport_validation,text/xml for XML document,pass_with_note,"alias; application/xml recommended"
HTTP-X05,xml,external_normative,RFC 7303 section 4.2,xml_structured_suffix,http_transport_validation,subtype ends in +xml,pass_with_note,"XML-capable media type; custom type is not automatically VDV-defined"
HTTP-X06,xsd-backed-vdv,combined_semantics,VDV XML payload model + RFC 9110/RFC 7303,incompatible,http_transport_validation,declared non-XML media type for expected XML representation,error,"report as media/payload mismatch; not as explicit VDV Content-Type rule"
HTTP-X07,xml,external_normative,RFC 7303,encoding_semantics,http_transport_validation,charset/BOM/XML encoding interpretation,profile_check,"keep separate from XSD structure validation"
HDS-V01,hds-v2.1,vdv_normative,VDV 301-2-17 V2.1,mandatory,discovery_validation,protocol _http._tcp and TXT content+path,error,"access URL from SRV host/port + path"
HDS-V02,hds-v2.2,vdv_normative,VDV 301-2-17 V2.2,mandatory,discovery_validation,protocol _http._tcp and TXT content+url,error,"url contains access URL; SRV port stated to have no meaning"
HDS-V03,hds-v2.2a,vdv_normative,VDV 301-2-17 V2.2a,profile_transition,discovery_validation,_ibisip_http._tcp introduced and _http._tcp deprecated,profile_note,"retain compatibility/project agreement note"
HDS-X01,hds-v2.2+,vdv_profile_exception_or_specialization,VDV 301-2-17 vs RFC 6763,cross_standard_tension,discovery_validation,TXT url is access authority while generic DNS-SD expects SRV target/port to locate service,profile_note,"follow VDV service-specific access rule; do not generalize to other services"
DNS-X01,dns-sd,external_normative,RFC 6763,mandatory,discovery_validation,PTR discovers service instance names,error,"generic DNS-SD structure; deterministic RV-002 starts from an already-discovered instance and does not execute PTR lookup"
DNS-X02,dns-sd,external_normative,RFC 6763,mandatory,discovery_validation,service instance has SRV and TXT with same instance name,error,"applies to PTR+SRV+TXT DNS-SD convention"
DNS-X03,dns-sd,external_normative,RFC 6763,mandatory,discovery_validation,TXT record exists even when empty,error,"generic DNS-SD requirement"
DNS-X04,dns-sd,external_normative,RFC 6763,mandatory,discovery_validation,SRV supplies target host and port,error,"except explicit VDV service-profile specialization such as HDS-X01"
DNS-X05,dns-sd,external_normative,RFC 6763,mandatory_client_behavior,discovery_validation,unknown TXT keys ignored,pass_with_note,"service profile separately decides known required VDV keys"
DNS-X06,dns-sd,external_normative,RFC 6763,transport_neutral,discovery_validation,DNS-SD may operate over unicast DNS or mDNS,profile_note,"do not equate DNS-SD with unconditional mDNS requirement"
MDNS-X01,mdns,external_normative,RFC 6762,conditional,discovery_transport,mDNS provides local-link DNS-like operation without conventional unicast DNS,profile_check,"apply only when selected deployment/profile uses mDNS"
DISC-V01,gc-2.2+,vdv_normative,VDV 301-2 General Conventions V2.2+,mandatory,discovery_validation,TXT ver present,error,"resolver input"
DISC-V02,gc-2.2+,vdv_normative,VDV 301-2 General Conventions V2.2+,mandatory,discovery_validation,TXT deviceclass present,error,"mandatory from IBIS-IP 2.2"
DISC-V03,gc-2.2+,vdv_normative,VDV 301-2 General Conventions V2.2+,mandatory,discovery_validation,TXT deviceID present,error,"mandatory from IBIS-IP 2.2"
DISC-V04,gc-2.2+,vdv_normative,VDV 301-2 General Conventions V2.2+,conditional_mandatory,discovery_validation,TXT multicast present for UDP service,error,"client joins advertised group"
DISC-V05,gc-2.2+,vdv_normative,VDV 301-2 General Conventions V2.2+,mandatory,runtime_endpoint,use discovered target and port,error,"ports are not globally fixed; evaluated by endpoint/runtime integration"
DISC-V06,gc-2.2+,vdv_normative,VDV 301-2 General Conventions V2.2+,mandatory,runtime_endpoint,different service versions on one device use different port or path,error,"supports mixed versions; requires multi-advertisement context"
DISC-V07,gc-2.2+,vdv_normative,VDV 301-2 General Conventions V2.2+,mandatory,discovery_validation,protocol label matches selected service transport family,error,"HTTP -> _ibisip_http._tcp; UDP -> _ibisip_udp._udp"
TS-V01,time-v1.0,vdv_normative,VDV 301-2-10 V1.0,mandatory,discovery_validation,service type _ibisip_udp._udp,error,"non-XSD TimeService"
TS-V02,time-v1.0,vdv_normative,VDV 301-2-10 V1.0,mandatory,discovery_validation,TXT sntp-server contains selected profile IP address,error,"separate metadata validity from reachability"
TS-V03,time-v1.0,vdv_normative,VDV 301-2-10 V1.0,profile_metadata,discovery_validation,TXT timezone handled without silent normalization,profile_check,"retain raw VDV value"
SNTP-X01,time-v1.0,external_normative_referenced_by_vdv,RFC 4330,protocol,time_runtime_validation,SNTP exchange semantics,profile_check,"RFC 4330 is the VDV-selected external protocol source despite being obsolete today"
SNTP-X02,time-v1.0,external_normative_referenced_by_vdv,RFC 4330,should,udp_runtime_validation,client request destination UDP port 123,profile_check,"RFC-derived, not VDV-PDF-derived"
SNTP-X03,modern-control,external_normative,RFC 5905,control_only,time_runtime_validation,current NTPv4 compatibility observation,informational,"RFC 5905 obsoletes RFC 4330; do not substitute it silently for TimeService V1.0"
VIDEO-V01,video-live-v2.0,vdv_normative,VDV 301-2-11 V2.0,mandatory,video_runtime_validation,use returned rtspURI for live stream access,error,"media control is separate from IBIS-IP XML operation"
VIDEO-V02,video-live-v2.0,vdv_normative,VDV 301-2-11 V2.0,architecture_rule,video_runtime_validation,START/STOP handled by RTSP rather than VDV XML START/STOP,profile_note,"do not synthesize VDV start/stop operation"
RTSP-X01,video,external_normative,RFC 2326 / RFC 7826,version_observation,video_runtime_validation,record negotiated RTSP version,profile_check,"checked VDV writing names RTSP but does not pin an RFC/version"
RTSP-X02,video,external_normative,RFC 7826,compatibility_note,video_runtime_validation,RTSP 2.0 not generally backward compatible with 1.0 except basic version negotiation,profile_note,"do not assume latest-wins"
RTP-X01,video,external_normative,RFC 3550,protocol,video_runtime_validation,RTP media reception/timestamps/sequence and RTCP evidence,profile_check,"separate from XML validity and RTSP control"
DIAG-001,network,diagnostic_heuristic,operational practice,diagnostic,network_diagnostic,duplicate IP detection,warning,"do not report as XSD error"
DIAG-002,network,diagnostic_heuristic,operational practice,diagnostic,network_diagnostic,endpoint/routing reachability,warning,"separate cause from profile advertisement"
DIAG-003,multicast,diagnostic_heuristic,operational practice,diagnostic,network_diagnostic,multicast join/reception and IGMP symptoms,warning,"IGMP relevance depends on architecture"
DIAG-004,time,diagnostic_heuristic,operational practice,diagnostic,time_runtime_validation,system-clock offset and certificate-validity impact,warning,"separate from TimeService advertisement success"
