profile_id,source,source_version,check_id,requirement_level,validation_layer,check,notes
net3013-2020,VDV 301-3,02/2020,NET-R01,mandatory_scope,architecture_inventory,IBIS-IP application is non-safety-critical,"safety coupling requires separate architecture review"
net3013-2020,VDV 301-3,02/2020,NET-R02,conditional_mandatory,architecture_inventory,safety/non-safety coupling has no-feedback gateway/data-diode concept,"conditional on such coupling existing"
net3013-2020,VDV 301-3,02/2020,NET-R03,mandatory_physical,architecture_inventory,Ethernet data-line extension <=100m,"80m is additional should-level guidance under applicable test standards"
net3013-2020,VDV 301-3,02/2020,NET-R04,recommended,architecture_inventory,fixed IP for same installation locations,"must not be promoted to universal hard failure"
net3013-2020,VDV 301-3,02/2020,NET-R05,required_context,network_diagnostic,unique vehicle IP in IBIS-IP train network,"train-network context"
net3013-2020,VDV 301-3,02/2020,NET-R06,recommended,architecture_inventory,separate cabling for train and vehicle networks,"physical-separation recommendation"
net3013-2020,VDV 301-3,02/2020,NET-R07,architecture_rule,architecture_inventory,train and vehicle networks connected through router or other stated technology such as VLAN,"do not hard-code a single topology implementation"
net3013-2020,VDV 301-3,02/2020,NET-R08,not_required,architecture_inventory,managed switch presence,"IBIS-IP does not require managed switches"
net3013-2020,VDV 301-3,02/2020,NET-R09,conditional_recommended,network_diagnostic,IGMP support when managed-switch multicast design is used,"relevant to multicast usability"
gc-2.2+,VDV 301-2 General Conventions,2.2+,DISC-R01,mandatory,discovery_validation,DNS-SD functionality available on IBIS-IP device,"device minimum requirement"
gc-2.2+,VDV 301-2 General Conventions,2.2+,DISC-R02,mandatory,discovery_validation,TXT ver present for every IBIS-IP service,"service version input to resolver"
gc-2.2+,VDV 301-2 General Conventions,2.2+,DISC-R03,mandatory,discovery_validation,TXT deviceclass present,"mandatory from IBIS-IP 2.2"
gc-2.2+,VDV 301-2 General Conventions,2.2+,DISC-R04,mandatory,discovery_validation,TXT deviceID present,"mandatory from IBIS-IP 2.2"
gc-2.2+,VDV 301-2 General Conventions,2.2+,DISC-R05,conditional_mandatory,discovery_validation,TXT multicast present for UDP service,"client joins advertised group"
gc-2.2+,VDV 301-2 General Conventions,2.2+,DISC-R06,optional,discovery_validation,TXT path,"if present it participates in endpoint addressing"
gc-2.2+,VDV 301-2 General Conventions,2.2+,DISC-R07,mandatory,discovery_validation,SRV protocol label is _ibisip_udp._udp or _ibisip_http._tcp,"service itself determines protocol family"
gc-2.2+,VDV 301-2 General Conventions,2.2+,DISC-R08,mandatory,runtime_endpoint,endpoint uses discovered target and port,"ports are not globally fixed by IBIS-IP"
gc-2.2+,VDV 301-2 General Conventions,2.2+,DISC-R09,mandatory,runtime_endpoint,different versions on one device use different port or path,"supports simultaneous mixed service versions"
gc-2.3+,VDV 301-2 General Conventions,2.3+,HTTP-R01,mandatory,http_transport_validation,HTTP version 1.1,"version history says this explicit rule was added in V2.3"
gc-2.2+,VDV 301-2 General Conventions,2.2+,HTTP-R02,mandatory,http_transport_validation,POST used when request data is passed,"operation convention"
gc-2.2+,VDV 301-2 General Conventions,2.2+,HTTP-R03,mandatory,http_transport_validation,GET used when no request data is passed,"operation convention"
gc-2.2+,VDV 301-2 General Conventions,2.2+,UDP-R01,mandatory,udp_runtime_validation,cyclic UDP service publishes to multicast,"explicit request mechanism not intended for this form"
gc-2.2+,VDV 301-2 General Conventions,2.2+,UDP-R02,recommended,udp_runtime_validation,cycle not below 1 second,"document says below 1s should be avoided under current technical conditions"
gc-2.2+,VDV 301-2 General Conventions,2.2+,IP-R01,documentation_conflict,network_diagnostic,do not hard-enforce ZeroConf/169.254 from English text,"German text states no IP allocation specification; DISC-001"
gc-2.2+,VDV 301-2 General Conventions,2.2+,IP-R02,required_common_semantics,network_diagnostic,address ranges consistent among participants,"common semantic core despite language conflict"
external-http,HTTP standards,separate,HTTP-X01,external_norm,http_transport_validation,Content-Type check where applicable,"not found as explicit VDV 301-2 V2.4 requirement; attribute to external protocol standard"
